"PREF IBKR","PREF YF","CMON","FF-FR_","BOND_","CRDT SCORE_","EX-DIV DATE","CALL DATE","MATUR DATE","DIV AMOUNT","COUPON","Aug2022_Price","Oct19_Price","CMON OUTS SHARES","CMON SECTOR","LAST PRICE","TIME TO DIV","DIV ADJ.PRICE","Unnamed: 18","Unnamed: 19","Unnamed: 20","Unnamed: 21","Last Price","Oct19_diff","Aug2022_diff","SMA88","SMA268","SMA88 chg","SMA268 chg","6M Low","6M High","1Y Low","1Y High","Div adj.price","6M_Low_diff","6M_High_diff","SMA88_chg_norm","SMA268_chg_norm","6M_Low_diff_norm","6M_High_diff_norm","1Y_High_diff","1Y_Low_diff","1Y_High_diff_norm","1Y_Low_diff_norm"
"VLYPO","VLYPO","VLY","FF","","8.000000","06/13/2025","9/30/2022","NONE","0.520000","5.50%","","","559.85","Regionalbank","","23.000000","","","","","","24.960000","","","24.860000","24.760000","0.420000","0.810000","22.730000","25.770000","19.610000","26.010000","24.570000","1.840000","-1.200000","45.985490","43.850244","50.629213","23.931034","-1.440000","4.960000","24.903130","59.657143"
"VLYPP","VLYPP","VLY","NFF","","10.000000","05/27/2025","6/30/2025","NONE","0.390000","6.25%","","","559.85","Regionalbank","","6.000000","","","","","","25.130000","","","24.720000","23.990000","1.650000","4.760000","21.710000","25.680000","15.500000","25.680000","24.770000","3.060000","-0.910000","40.036276","29.849358","28.696629","19.931034","-0.910000","9.270000","18.584203","35.028571"
"VOYA PRB","VOYA-B","VOYA","NFF","","8.000000","06/13/2025","9/15/2029","NONE","0.330000","5.35%","","","96.09","Financialconglomerates","","23.000000","","","","","","24.260000","","","24.180000","24.660000","0.390000","-1.570000","22.810000","26.630000","19.830000","26.630000","24.020000","1.210000","-2.610000","46.130593","52.286221","61.955056","43.379310","-2.610000","4.190000","38.852459","64.057143"
"WAL PRA","WAL-A","WAL","NFF","","10.000000","06/30/2025","9/30/2026","NONE","0.270000","4.25%","","","110.43","Regionalbank","","40.000000","","","","","","21.610000","","","21.910000","20.590000","-1.370000","4.950000","19.570000","23.000000","13.040000","23.000000","21.460000","1.890000","-1.540000","54.643289","29.175897","49.730337","28.620690","-1.540000","8.420000","26.095380","39.885714"
"WBS PRG","WBS-G","WBS","","","8.000000","06/13/2025","4/15/2018","NONE","0.410000","6.50%","25.240000","20.250000","168.44","Regionalbank","","23.000000","","","","","","23.980000","3.730000","-1.260000","23.410000","23.600000","2.410000","1.590000","21.260000","25.260000","18.120000","25.260000","23.670000","2.410000","-1.590000","36.360339","41.085512","40.382022","29.310345","-1.590000","5.550000","26.691505","56.285714"
"WCC PRA","WCC-A","WCC","NFF","","8.000000","05/28/2025","6/22/2025","NONE","0.660000","10.63%","","","48.81","Industrialdistribution","","7.000000","","","","","","25.500000","","","25.560000","25.910000","-0.230000","-1.590000","25.240000","26.480000","25.240000","27.390000","24.890000","-0.350000","-1.590000","49.129383","52.357111","90.000000","29.310345","-2.500000","-0.350000","37.540984","90.000000"
"WHFCL","WHFCL","WHF","","BB","8.000000","07/28/2025","9/15/2025","9/15/2028","0.490000","7.88%","","24.850000","23.24","Assetmanagement","","68.000000","","","","","","25.450000","0.600000","","25.340000","25.340000","0.440000","0.420000","25.010000","25.730000","24.540000","27.410000","25.330000","0.320000","-0.400000","45.888755","45.232610","77.955056","12.896552","-2.080000","0.790000","32.533532","83.485714"
"WSBCP","WSBCP","WSBC","NFF","","8.000000","07/01/2025","11/15/2025","NONE","0.420000","6.75%","","","95.79","Regionalbank","","41.000000","","","","","","25.170000","","","25.180000","25.000000","-0.050000","0.690000","24.420000","25.600000","21.010000","25.600000","24.940000","0.520000","-0.660000","48.258767","44.275587","74.359551","16.482759","-0.660000","3.930000","15.603577","65.542857"
"WTFCM","WTFCM","WTFC","NFF","","8.000000","07/01/2025","7/15/2025","NONE","0.410000","6.50%","","","66.87","Regionalbank","","41.000000","","","","","","25.100000","","","25.070000","24.870000","0.120000","0.930000","24.340000","25.500000","20.460000","25.500000","24.880000","0.540000","-0.620000","47.436518","43.424900","74.000000","15.931034","-0.620000","4.420000","15.126677","62.742857"
"WTFCP","WTFCP","WTFC","NFF","","8.000000","07/14/2025","7/15/2025","NONE","0.430000","6.88%","","","66.87","Regionalbank","","54.000000","","","","","","25.160000","","","25.160000","25.090000","0.010000","0.280000","24.680000","25.490000","22.470000","25.490000","24.990000","0.310000","-0.500000","47.968561","45.728844","78.134831","14.275862","-0.500000","2.520000","13.695976","73.600000"
"XFLT PRA","XFLT-A","XFLT","","","8.000000","06/30/2025","3/31/2023","3/31/2026","0.410000","6.50%","25.460000","24.540000","76.12","Cef","","40.000000","","","","","","25.140000","0.600000","-0.320000","25.120000","24.960000","0.100000","0.720000","24.610000","25.450000","24.210000","25.450000","24.910000","0.300000","-0.540000","47.533253","44.169251","78.314607","14.827586","-0.540000","0.700000","14.172876","84.000000"
"XOMAO","XOMAO","XOMA","","","8.000000","06/30/2025","4/15/2022","NONE","0.520000","8.38%","25.300000","22.560000","11.95","Biotechnology","","40.000000","","","","","","25.300000","2.740000","0.000000","25.300000","25.330000","-0.000000","-0.110000","23.320000","25.870000","20.430000","25.870000","25.010000","1.690000","-0.860000","48.016929","47.111210","53.325843","19.241379","-0.860000","4.580000","17.988077","61.828571"
"XOMAP","XOMAP","XOMA","","","","30/06/2025","12/15/2021","NONE","0.540000","8.63%","25.920000","22.760000","11.95","Biotechnology","","","","","","","","25.410000","2.650000","-0.510000","25.690000","25.630000","-1.080000","-0.840000","24.960000","26.510000","21.400000","26.510000","25.410000","0.450000","-1.100000","53.240629","49.698715","75.617978","22.551724","-1.100000","4.010000","20.849478","65.085714"
"","","","","","","","","","","","","","","","","","","","","X","X","","","","11.410000","11.370000","-1.540000","-1.220000","10.690000","11.930000","9.110000","11.930000","","","","55.465538","51.045636","","","","","",""
